query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	1.32276039349259e-23	487	736	122	0.165760869565217	0.250513347022587	KEGG:05168	KEGG	Herpes simplex virus 1 infection	7788	423	KEGG:00000
query_1	TRUE	1.92342448958273e-18	14626	1672	1442	0.86244019138756	0.0985915492957746	GO:0005622	GO:CC	intracellular	18856	299	GO:0005575
query_1	TRUE	3.89474858726423e-13	12584	1672	1259	0.75299043062201	0.100047679593134	GO:0043227	GO:CC	membrane-bounded organelle	18856	2150	GO:0043226
query_1	TRUE	1.11417270340972e-12	11067	1672	1130	0.675837320574163	0.102105358272341	GO:0043231	GO:CC	intracellular membrane-bounded organelle	18856	2154	GO:0043227|GO:0043229
query_1	TRUE	1.48877705088562e-12	12840	1672	1277	0.763755980861244	0.0994548286604361	GO:0043229	GO:CC	intracellular organelle	18856	2152	GO:0005622|GO:0043226
query_1	TRUE	1.5372227970489e-11	13720	1672	1343	0.80322966507177	0.0978862973760933	GO:0043226	GO:CC	organelle	18856	2149	GO:0110165
query_1	TRUE	1.43116947345893e-10	1199	999	187	0.187187187187187	0.155963302752294	REAC:R-HSA-212436	REAC	Generic Transcription Pathway	10594	891	REAC:R-HSA-73857
query_1	TRUE	2.43441120250334e-08	1320	999	193	0.193193193193193	0.146212121212121	REAC:R-HSA-73857	REAC	RNA Polymerase II Transcription	10594	1618	REAC:R-HSA-74160
query_1	TRUE	4.86162140046793e-08	1454	999	207	0.207207207207207	0.142365887207703	REAC:R-HSA-74160	REAC	Gene expression (Transcription)	10594	889	REAC:0000000
query_1	TRUE	8.76020069742646e-08	5154	1672	568	0.339712918660287	0.110205665502522	GO:0005829	GO:CC	cytosol	18856	487	GO:0005737|GO:0110165
query_1	TRUE	1.86028818725588e-07	10860	1594	1085	0.680677540777917	0.0999079189686924	GO:0044237	GO:BP	cellular metabolic process	17906	12850	GO:0008152|GO:0009987
query_1	TRUE	2.52273348302813e-07	6178	1594	667	0.418444165621079	0.107963742311428	GO:0044249	GO:BP	cellular biosynthetic process	17906	12858	GO:0009058|GO:0044237
query_1	TRUE	2.88656488679184e-07	6308	1648	688	0.41747572815534	0.109067850348763	GO:0043167	GO:MF	ion binding	18126	6846	GO:0005488
query_1	TRUE	3.18168909514553e-07	4227	1648	487	0.295509708737864	0.115211734090371	GO:0046872	GO:MF	metal ion binding	18126	7414	GO:0043169
query_1	TRUE	2.04527084552078e-06	4321	1648	491	0.297936893203884	0.113631103911132	GO:0043169	GO:MF	cation binding	18126	6848	GO:0043167
query_1	TRUE	2.60709434857693e-06	6371	1594	678	0.42534504391468	0.10641971433056	GO:0009058	GO:BP	biosynthetic process	17906	3706	GO:0008152
query_1	TRUE	3.1504785774162e-06	6269	1594	668	0.419071518193225	0.106556069548572	GO:1901576	GO:BP	organic substance biosynthetic process	17906	25078	GO:0009058|GO:0071704
query_1	TRUE	5.78214836392309e-06	2524	1648	308	0.186893203883495	0.12202852614897	GO:0003677	GO:MF	DNA binding	18126	417	GO:0003676
